Time,40K plat,4K cyl,40K shield,ivc
1724398544.1515236,298.3672,299.8865,299.3018,299.7017
1724398545.983871,298.3684,299.8856,299.3022,299.702
1724398547.813816,298.3695,299.8869,299.3009,299.7025
1724398549.6315565,298.3695,299.8874,299.3021,299.7025
1724398551.4608762,298.3698,299.8868,299.3014,299.7024
1724398553.3049147,298.3672,299.8872,299.3015,299.7023
1724398555.1454248,298.3687,299.8864,299.3018,299.7022
1724398556.9825253,298.3688,299.8867,299.3014,299.7022
1724398558.8106542,298.3692,299.8864,299.3022,299.7023
1724398560.6323426,298.3696,299.8871,299.3018,299.702
1724398562.4657185,298.3699,299.886,299.3016,299.7023
1724398564.303051,298.3677,299.8843,299.3023,299.7018
1724398566.1376023,298.3698,299.8864,299.3013,299.702
1724398567.9666915,298.3706,299.8874,299.3014,299.7019
1724398569.79651,298.3683,299.8885,299.302,299.7023
1724398571.6201649,298.3693,299.8861,299.3012,299.7026
1724398573.4431021,298.368,299.8874,299.3021,299.7023
1724398575.268018,298.369,299.8864,299.302,299.7025
1724398577.0974998,298.368,299.8872,299.3019,299.7026
1724398578.9245155,298.3696,299.8864,299.3016,299.7026
1724398580.7600842,298.3689,299.8868,299.3017,299.7025
1724398582.5885415,298.3697,299.8869,299.3015,299.7019
1724398584.4176893,298.3684,299.8868,299.3016,299.7021
1724398586.2504,298.3688,299.8866,299.3016,299.7027
1724398588.0835857,298.3686,299.8878,299.3011,299.7024
1724398589.9120572,298.3695,299.8851,299.3018,299.7018
1724398591.7445536,298.369,299.8882,299.3018,299.7014
1724398593.5710876,298.3675,299.8851,299.3014,299.7029
1724398595.4048724,298.3698,299.8858,299.302,299.7026
1724398597.2279756,298.368,299.8865,299.3016,299.702
1724398599.0663311,298.3692,299.8878,299.302,299.7025
1724398600.903534,298.3714,299.8854,299.3014,299.7015
1724398602.7386808,298.3685,299.8863,299.3018,299.702
1724398604.5790975,298.3696,299.8872,299.3023,299.7026
1724398606.4105084,298.3713,299.8874,299.3025,299.7028
1724398608.242739,298.3701,299.8857,299.302,299.7025
1724398610.0767982,298.3694,299.8877,299.3022,299.7027
1724398611.9113111,298.3698,299.8869,299.3014,299.7027
1724398613.739025,298.3692,299.8867,299.3024,299.7029
1724398615.5673673,298.3706,299.887,299.302,299.702
1724398617.3976135,298.369,299.8886,299.3021,299.7025
1724398619.2288966,298.3683,299.8876,299.3026,299.7032
1724398621.0490294,298.3697,299.8882,299.3022,299.7028
1724398622.87563,298.3692,299.8844,299.3019,299.7029
1724398624.7054844,298.369,299.8861,299.3018,299.702
1724398626.5411384,298.3687,299.8873,299.3018,299.7026
1724398628.376603,298.3689,299.8865,299.3024,299.7028
1724398630.223253,298.3702,299.8867,299.3018,299.7023
1724398632.0437615,298.3691,299.8858,299.302,299.7016
1724398633.8662388,298.3684,299.8869,299.3022,299.7027
1724398635.6891499,298.3701,299.8875,299.3024,299.7026
1724398637.5267315,298.3705,299.8877,299.3022,299.7028
1724398639.3441985,298.3697,299.8884,299.3022,299.7024
1724398641.189618,298.3706,299.8868,299.3022,299.7028
1724398643.023064,298.3687,299.8873,299.3017,299.7031
1724398644.8537674,298.3695,299.888,299.302,299.703
1724398646.6862433,298.3699,299.8877,299.3022,299.7031
1724398648.5184128,298.3695,299.8874,299.3008,299.7025
1724398650.3547766,298.3692,299.8857,299.3021,299.703
1724398652.1865468,298.3687,299.8851,299.3018,299.7021
1724398654.0158906,298.3706,299.887,299.3021,299.7028
1724398655.8469524,298.3703,299.8877,299.3015,299.7031
1724398657.6760368,298.3709,299.8864,299.3025,299.702
1724398659.5226355,298.3698,299.8867,299.3028,299.7031
1724398661.3547447,298.3713,299.8864,299.3016,299.7024
1724398663.1790261,298.371,299.8884,299.3022,299.7031
1724398665.0045824,298.3695,299.8875,299.3021,299.7033
1724398666.8206995,298.3691,299.8877,299.302,299.7026
1724398668.6561959,298.3695,299.8878,299.3021,299.7023
1724398670.4916208,298.3693,299.8875,299.3023,299.7021
1724398672.326873,298.3698,299.887,299.3023,299.7031
1724398674.1633775,298.3698,299.8883,299.3025,299.7029
1724398676.0014234,298.3697,299.8881,299.3026,299.7027
1724398677.8138547,298.3707,299.8888,299.3018,299.7026
1724398679.6512506,298.37,299.8872,299.3022,299.7033
1724398681.4872594,298.3698,299.887,299.3026,299.7031
1724398683.3183677,298.3707,299.8869,299.3024,299.7028
1724398685.1521041,298.3692,299.8879,299.3023,299.7026
1724398686.9913144,298.3684,299.8878,299.3024,299.7028
1724398688.8196125,298.3699,299.8862,299.3027,299.7023
1724398690.6490421,298.368,299.8852,299.3028,299.703
1724398692.4865308,298.3705,299.8879,299.3015,299.7036
1724398694.3133023,298.3699,299.8887,299.3027,299.7032
1724398696.1494896,298.3694,299.888,299.3027,299.7031
1724398697.9717114,298.37,299.887,299.3025,299.7031
1724398699.7883775,298.3698,299.887,299.3022,299.7031
1724398701.627371,298.3691,299.8862,299.3027,299.7027
1724398703.4571028,298.3698,299.8869,299.3018,299.7028
1724398705.288055,298.3705,299.8871,299.3019,299.7035
1724398707.1172,298.3691,299.8872,299.3026,299.7025
1724398708.9464698,298.3699,299.8874,299.3023,299.703
1724398710.7908993,298.37,299.8878,299.3029,299.7037
1724398712.6275663,298.3701,299.8877,299.3024,299.7028
1724398714.452197,298.3704,299.8878,299.3026,299.703
1724398716.2889395,298.3702,299.8878,299.3028,299.7029
1724398718.1096172,298.3697,299.8878,299.3027,299.7031
1724398719.9408753,298.3699,299.8858,299.3026,299.7032
1724398721.7729504,298.3705,299.8861,299.3033,299.7028
1724398723.6040888,298.371,299.8868,299.302,299.7037
1724398725.4413254,298.3701,299.889,299.3022,299.7034
1724398727.2737794,298.3697,299.8886,299.3022,299.7027
1724398729.104262,298.3697,299.8881,299.3028,299.7032
1724398730.93603,298.3699,299.8879,299.3027,299.7035
1724398732.765194,298.3698,299.8858,299.3025,299.703
1724398734.5963764,298.3707,299.8858,299.3018,299.703
1724398736.428302,298.3689,299.8881,299.3029,299.703
1724398738.2597506,298.3709,299.8879,299.3026,299.7036
1724398740.077997,298.3705,299.8874,299.3026,299.7031
1724398741.908528,298.3707,299.8879,299.3027,299.7041
1724398743.7427437,298.3699,299.8875,299.3024,299.7034
1724398745.5745802,298.3694,299.8873,299.3026,299.7037
1724398747.411231,298.3698,299.8876,299.3028,299.7033
1724398749.2467747,298.3705,299.8859,299.3028,299.7038
1724398751.0748608,298.37,299.8866,299.3019,299.7033
1724398752.899763,298.37,299.8866,299.3021,299.7031
1724398754.7337086,298.3682,299.8872,299.3026,299.7034
1724398756.5769446,298.3706,299.8878,299.3024,299.7029
1724398758.413896,298.3701,299.8873,299.3021,299.7028
1724398760.2451105,298.3706,299.8869,299.3015,299.7042
1724398762.0784838,298.3706,299.889,299.3026,299.7033
1724398763.9001045,298.37,299.8875,299.3022,299.7031
1724398765.738459,298.3707,299.8883,299.303,299.7031
1724398767.575083,298.3691,299.8876,299.3022,299.7033
1724398769.4100478,298.3701,299.8866,299.3025,299.7032
1724398771.243598,298.3716,299.8864,299.3031,299.7034
1724398773.0746071,298.3715,299.8874,299.3023,299.7031
1724398774.9124722,298.3709,299.8885,299.3019,299.7032
1724398776.7438655,298.3702,299.8872,299.303,299.7033
1724398778.5749974,298.3703,299.8875,299.3028,299.7026
1724398780.4040604,298.3717,299.8883,299.3018,299.7035
1724398782.237653,298.3713,299.8886,299.3023,299.7033
1724398784.0689845,298.3715,299.8883,299.3024,299.7033
1724398785.8969345,298.3712,299.8882,299.3026,299.7038
1724398787.733091,298.369,299.8886,299.3025,299.7031
1724398789.5651803,298.3696,299.8872,299.3028,299.7035
1724398791.3923185,298.371,299.887,299.3024,299.704
1724398793.210809,298.3703,299.8866,299.3028,299.7032
1724398795.041743,298.3692,299.8892,299.3029,299.7039
1724398796.8797197,298.3709,299.8866,299.3026,299.7032
1724398798.7206056,298.3691,299.8885,299.3028,299.7037
1724398800.5512176,298.3712,299.8884,299.303,299.704
1724398802.382766,298.3707,299.8881,299.3027,299.7043
1724398804.2070715,298.3694,299.8876,299.3032,299.7036
1724398806.0298064,298.3705,299.8891,299.3028,299.7037
1724398807.8499339,298.3703,299.8885,299.302,299.7042
1724398809.6718178,298.3697,299.8887,299.3031,299.7041
1724398811.5041952,298.3708,299.8885,299.3024,299.7037
1724398813.3378668,298.3695,299.8871,299.303,299.7039
1724398815.181024,298.3684,299.8875,299.3023,299.7037
1724398817.0128574,298.3706,299.8876,299.3027,299.7033
1724398818.840224,298.3712,299.8883,299.3026,299.7037
1724398820.6668608,298.3698,299.889,299.3028,299.7039
1724398822.4980805,298.3718,299.8858,299.302,299.7041
1724398824.3273842,298.3717,299.8883,299.3028,299.7037
1724398826.1717105,298.3699,299.887,299.3028,299.7033
1724398827.9909234,298.3708,299.8876,299.3024,299.7041
1724398829.824731,298.3704,299.888,299.303,299.7035
1724398831.6455972,298.3692,299.886,299.3028,299.7033
1724398833.482486,298.3707,299.8861,299.3032,299.7039
1724398835.313131,298.3703,299.8884,299.3031,299.7041
1724398837.1453655,298.3707,299.8878,299.303,299.7042
1724398838.966225,298.3707,299.888,299.3029,299.7037
1724398840.7941895,298.3704,299.888,299.3031,299.7038
1724398842.6208017,298.3723,299.8879,299.3031,299.7037
1724398844.4593506,298.371,299.8877,299.3026,299.7044
1724398846.2933226,298.3717,299.8891,299.3026,299.7037
1724398848.1408157,298.3678,299.8871,299.3032,299.7038
1724398849.9703395,298.3716,299.8878,299.3031,299.7043
1724398851.791214,298.371,299.8896,299.3037,299.704
1724398853.6122508,298.3706,299.8873,299.3026,299.7039
